10093,2020-02-15 00:00,'200027','V','SHAHEEN PAPER MILLS GUJRANWALA','GUJRANWALA','GUJRANWALA',0,354684,'1','1','Admin',2020-02-15 15:35:40.300000,,,93,'GUJRANWALA','01','400001','PURCHASE A/C'
10094,2020-02-15 00:00,'200037','V','MISC VENDOR',,,0,27810,'1','1','Admin',2020-02-15 17:10:43.116000,'PUR OF 5 DRUMS OF SILICATE FROM SHAFI SONS','BILL # 13530',94,,'01','400001','PURCHASE A/C'
10095,2020-02-16 00:00,'200016','V','FAMILY FOODS INDUSTRIES ','G.T. ROAD GUJRANWALA','GUJRANWALA',0,84000,'1','1','Admin',2020-02-16 10:24:44.590000,,'bill# 320',95,'GUJRANWALA','01','400001','PURCHASE A/C'
10096,2020-02-16 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,19800,'1','1','Admin',2020-02-16 12:38:01.774000,,'Delivery Challan # 461',96,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10097,2020-02-16 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,45000,'1','1','HAMMAD',2020-02-16 14:30:23.774000,,,97,'HARIPUR','01','400001','PURCHASE A/C'
10098,2020-02-04 00:00,'200042','V','FAHAD UMAIR',,,0,112000,'1','1','Admin',2020-02-17 14:19:49.613000,,,98,,'01','400001','PURCHASE A/C'
10099,2020-02-17 00:00,'200027','V','SHAHEEN PAPER MILLS GUJRANWALA','GUJRANWALA','GUJRANWALA',0,206756,'1','1','Admin',2020-02-17 18:24:40.389000,,'DC#8',99,'GUJRANWALA','01','400001','PURCHASE A/C'
10100,2020-02-18 00:00,'200015','V','CH SEHNA ','LALAMUSA','LALAMUSA',0,1063600,'1','1','Admin',2020-02-18 11:43:23.834000,,,100,'LALAMUSA','01','400001','PURCHASE A/C'
10101,2020-02-19 00:00,'200037','V','MISC VENDOR',,,0,16488,'1','1','HAMMAD',2020-02-19 20:50:06.944000,,'SHAFI SONS SOAP FACTORY',101,,'01','400001','PURCHASE A/C'
10102,2020-02-19 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,21600,'1','1','HAMMAD',2020-02-19 21:15:04.781000,,'240 BAGS',102,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10103,2020-02-22 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,18000,'1','1','Admin',2020-02-23 10:52:35.010000,,'DC#472',103,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
